,id,coordinate,Start_Date,End_Date
330,148011,"[5.41586, 43.450063]",-750.0,-30.0
331,148018,"[5.042732, 43.786975]",-750.0,300.0
332,148024,"[4.207052, 43.98566]",-550.0,300.0
333,148025,"[4.292758, 44.074028]",-30.0,300.0
334,148027,"[5.034166, 43.829885]",-330.0,640.0
335,148036,"[5.047556, 44.052059]",-30.0,640.0
336,148037,"[5.538571, 43.216076]",-30.0,300.0
337,148038,"[5.246238, 43.491064]",-330.0,300.0
338,148040,"[4.800928, 43.7486]",-330.0,300.0
339,148050,"[5.313059, 43.410307]",-330.0,-30.0
340,148053,"[5.44541, 43.526232]",-330.0,640.0
341,148054,"[4.808442, 44.135527]",-330.0,640.0
342,148056,"[3.217908, 43.341753]",-330.0,640.0
343,148060,"[5.123055, 43.550135]",-30.0,300.0
344,148072,"[3.524804, 43.296824]",-330.0,640.0
345,148073,"[5.439145, 43.552055]",-330.0,-30.0
346,148079,"[5.126202, 43.921706]",300.0,640.0
347,148090,"[[[[3.734704658537788, 43.595023285515964, 0.0], [3.733585178731473, 43.595387540177455, 0.0], [3.734023236046987, 43.59639804156649, 0.0], [3.735775465309045, 43.59765526960433, 0.0], [3.737462797191027, 43.598054757126135, 0.0], [3.737316778085855, 43.5969620349631, 0.0], [3.73619729827954, 43.59581054282381, 0.0], [3.734704658537788, 43.595023285515964, 0.0]]]]",-550.0,-330.0
348,148091,"[5.612456, 43.313944]",-30.0,640.0
349,148093,"[4.832867, 43.773471]",-330.0,640.0
350,148109,"[4.106828, 43.98922]",-30.0,640.0
351,148111,"[5.074153, 44.051312]",-750.0,-550.0
352,148112,"[4.510532, 43.914829]",-30.0,300.0
353,148115,"[3.742831, 43.781068]",-750.0,-330.0
354,148117,"[4.661197, 44.198184]",-750.0,640.0
355,148120,"[4.092021, 43.679345]",-330.0,640.0
356,148121,"[3.323529, 43.730407]",-330.0,640.0
357,148123,"[3.882631, 43.514715]",300.0,640.0
358,148124,"[4.545053, 43.927123]",-550.0,640.0
359,148125,"[5.054721, 43.407522]",-550.0,300.0
360,148127,"[5.382499, 43.296854]",-750.0,640.0
361,148133,"[3.608832, 43.423717]",-750.0,300.0
362,148135,"[3.435526, 43.351082]",-750.0,-330.0
363,148144,"[5.232867, 43.405741]",-550.0,-30.0
364,148152,"[4.68401, 43.841024]",-550.0,300.0
365,148155,"[5.767685, 43.200231]",-30.0,640.0
366,148158,"[3.423528, 43.459998]",-750.0,300.0
367,148159,"[4.031827, 43.843617]",-550.0,300.0
368,148167,"[4.433072, 43.683289]",-550.0,300.0
369,148170,"[3.789635, 43.534819]",-550.0,-30.0
370,148171,"[4.226382, 43.799601]",-750.0,-30.0
371,148172,"[5.307481, 43.515438]",-330.0,-30.0
372,148178,"[4.981817, 43.463003]",-750.0,640.0
373,148189,"[3.879533, 43.608187]",-30.0,640.0
374,148190,"[5.053319, 43.369827]",-750.0,300.0
375,148198,"[4.274308, 44.176801]",-30.0,300.0
376,148205,"[4.284619, 44.116403]",-30.0,300.0
377,148209,"[4.662525, 43.807937]",-30.0,300.0
378,148213,"[4.620892, 43.898728]",-30.0,300.0
379,148216,"[5.307387, 43.401657]",-550.0,-30.0
380,148217,"[4.630799, 43.677616]",-750.0,640.0
381,148222,"[4.418997, 44.01068]",-30.0,640.0
382,148223,"[4.635555, 43.811154]",-750.0,640.0
383,148226,"[4.647629, 44.256597]",-30.0,640.0
384,148227,"[4.069582, 43.801124]",-30.0,300.0
385,148229,"[4.178358, 44.10189]",-550.0,300.0
386,148232,"[5.378241, 43.732319]",-30.0,300.0
387,148235,"[4.095829, 43.78855]",-550.0,300.0
388,148236,"[4.903091, 43.998253]",-750.0,-30.0
389,148237,"[5.146838, 43.99512]",300.0,640.0
390,148240,"[4.275054, 43.69458]",-30.0,300.0
391,157803,"[8.21493, 44.0484]",,
392,157805,"[6.090718, 43.818614]",-30.0,640.0
393,157816,"[6.640921, 43.270134]",-330.0,300.0
394,157824,"[6.338309, 43.141961]",-30.0,300.0
